Desde: 01/08/2025 Hasta: 30/08/2025;;;;;
Sucursales: PASADENA;;;;;
Turnos: ALMUERZO, CENA, NOCHE;;;;;
FAMILIA;CODIGO;ARTICULO;CANTIDAD;IMPORTE;SUBFAMI
PLATOS DEL DIA;901;PLATO DEL DIA;284,7;5155130;COCINA
PLATOS DEL DIA;902;PLATO DEL DIA;161,1;2559790;COCINA
PLATOS DEL DIA;903;PLATO DEL DIA DELIVERY;17,4;265260;COCINA
PLATOS DEL DIA;904;.;1;13900;COCINA
PLATOS DEL DIA;904;PLATO DEL DELIVERY;1;13900;COCINA
PLATOS DEL DIA;904;PLATOS DEL DIA DELIVERY;6;81400;COCINA
PLATOS DEL DIA;905;PLATO DEL DIA TARTA;39;317500;COCINA
PLATOS DEL DIA;905;TARTA+ BEBIDA+ CAFE;14;138600;COCINA
PLATOS DEL DIA;908;FLORES ;10;115500;COCINA
POSTRES;470;FLAN;58;284200;OTROS
POSTRES;471;ENS FRUTA;4;22000;OTROS
POSTRES;474;HELADO UNA BOCHA;9;31500;OTROS
POSTRES;475;HELADO DOS BOCHAS;7;36400;OTROS
PROMO DE MESAS;70;2 CAFE C/L + TORTA (COMPARTIR);9;134100;CAFETERIA
PROMO DE MESAS;70;PROMO TORTA (COMPARTIR);30;447000;CAFETERIA
PROMO DE MESAS;71;AVOCADO TOAST+ CAFE C/L;27;294300;CAFETERIA
PROMO DE MESAS;71;PROMO AVOCADO TOAST;72;784800;CAFETERIA
PROMO DE MESAS;72;JARRITO + MINI CAKE;20;150000;CAFETERIA
PROMO DE MESAS;72;PROMO MINI CAKE;9;67500;CAFETERIA
PROMO DE MESAS;72;PROMO MINI CAKE + JARRITO;37;277500;CAFETERIA
PROMO DE MESAS;91;PROMO BUDIN;40;316000;CAFETERIA
PROMO DE MESAS;92;PROMO MEDIALUNA JYQ;86;645000;CAFETERIA
PROMO DE MESAS;94;PROMO CROISSANT JYQ;88;871200;CAFETERIA
PROMO DE MESAS;96;PROMO FOSFORITO JYQ;54;459000;CAFETERIA
PROMO DE MESAS;97;PROMO SCON ;43;322500;CAFETERIA
PROMO PIZZARON CAFETERIA;73;PROMO ARABE JYQ ;48,7;413950;CAFETERIA
PROMO PIZZARON CAFETERIA;74;PROMO JARRITO + COOKIE;4;23600;CAFETERIA
PROMO PIZZARON CAFETERIA;75;PROMO JARRITO + MACARON ;2;14000;CAFETERIA
PROMO PIZZARON CAFETERIA;75;PROMO TOSTON SIMPLE + LICUA;3;32700;CAFETERIA
PROMO PIZZARON CAFETERIA;78;MOMENTO PASADENA;38;87200;CAFETERIA
PROMO PIZZARON CAFETERIA;79;MOMENTO PASADENA MINI CAKE;3;13500;CAFETERIA
PROMO PIZZARON CAFETERIA;79;MOMENTO PASADENA SCON RELLENO;1;3500;CAFETERIA
PROMO PIZZARON CAFETERIA;80;...;0;0;CAFETERIA
PROMO PIZZARON CAFETERIA;80;MOMENTO PASADENA BROWNIE;2;5800;CAFETERIA
PROMO PIZZARON CAFETERIA;87;MINI CAKE  2 X 1 ;2;15000;CAFETERIA
PROMO PIZZARON CAFETERIA;87;PROMO MINI CAKE  2 X 1 ;7;52500;CAFETERIA
PROMO PIZZARON CAFETERIA;93;PROMO MEDIALUNA C/PASTELERA;5;36000;CAFETERIA
PROMO PIZZARON CAFETERIA;98;PROMO SCON RELLENO + CAFE C/L;18;153000;CAFETERIA
RECARGOS;400;CAZUELA QUE, MERME, DDL, MANT ;26;70200;OTROS
RECARGOS;401;CAZUELA PALTA;7;21700;OTROS
RECARGOS;402;CAZUELA DADOS QUESO JAMON;1;4300;OTROS
RECARGOS;403;REC JAMON QUESO TOM SANDWICH;6,7;19430;OTROS
RECARGOS;404;PORCION DE HUEVOS (3);23;69000;OTROS
RECARGOS;405;HUEVO FRITO/DURO;26;28600;OTROS
RECARGOS;408;RECARGO PANCETA;1;3900;OTROS
RECARGOS;409;RECARGO PARMESANO;5;23000;OTROS
RECARGOS;410;REC BARRITA SUBMARINO;2;5000;OTROS
RECARGOS;414;REC SALSA CHAM/VERDEO/MOSTAZ;1;5400;OTROS
REGALOS DE SIGNOS;81;TORTA  + INFUSION REGALO;15;0;OTROS
REGALOS DE SIGNOS;84;AVOCADO + INFUSION REGALO;6;0;OTROS
SANDWICHES ESPECIALES;241;VEGGIE ;6;59400;SANDWICHES
SANDWICHES ESPECIALES;242;CHICKEN POLLO ;7;69300;SANDWICHES
SANDWICHES ESPECIALES;244;MEDITERRANEO ;6;71400;SANDWICHES
SANDWICHES ESPECIALES;245;CHICKEN ESPECIAL;4;35600;SANDWICHES
SANDWICHES ESPECIALES;246;ESPECIAL;4;50000;SANDWICHES
SANDWICHES ESPECIALES;247;POLLO;7;69300;SANDWICHES
Sin Familia;10000;Momento pasadena lemon;5;22500;CAFETERIA
TOSTADOS ;219;MEDIALUNA C/ JYQ;44;171600;SANDWICHES
TOSTADOS ;220;MEDIO TOSTADO;25;145000;SANDWICHES
TOSTADOS ;221;TOSTADO MIXTO;114,7;974950;SANDWICHES
TOSTADOS ;222;ARABE JAMON Y QUESO;55;467500;SANDWICHES
TOSTADOS ;223;ARABE TRIPLE;32,4;288360;SANDWICHES
TOSTADOS ;224;ARABE CRUDO;8;87200;SANDWICHES
TOSTADOS ;225;FOSFORITO C/ JYQ;2;11000;SANDWICHES
TOSTADOS ;226;MEDIALUNA CON PASTELERA O DDL;5;22500;SANDWICHES
TRAGOS FRIOS;290;MILSHAKE CLASICO;4;26000;BEBIDAS
TRAGOS FRIOS;291;MILKSHAKE OREO;6;43800;BEBIDAS
TRAGOS FRIOS;292;FROZEN BANANA SPLIT;1;7300;BEBIDAS
TRAGOS FRIOS;293;ICE CARAMEL COFFE RICHE;4;29200;BEBIDAS
TRAGOS FRIOS;295;ICE LATTE;3;15900;BEBIDAS
TRAGOS FRIOS;296;ICE LATTE SABORIZADO;1;5700;BEBIDAS
VARIOS;9991;* VARIOS *;1;1;OTROS
VARIOS;9998;* VARIOS *;4;2;OTROS
DESCUENTOS;999999;DESCUENTOS;3491;-494679,8;
